location_key,location_cd,location_dsc,loc_brand_cd,loc_brand_dsc,store_city,store_pcode,district,country_key
255010002,255,MDL PINHAL NOVO,303,continente modelo,PINHAL NOVO,2955-189,303,PT010001
3573010004,3573,CBD CAMPO MAIOR,302,continente bom dia,CAMPO MAIOR,7370-201,302,PT010001
8427010003,8427,CBD 500 COLOMBO,302,continente bom dia,LISBOA,1500-392,302,PT010001
867010003,867,MDL CÂMARA DE LOBOS,303,continente modelo,CÂMARA DE LOBOS,9300-066,303,PT010001
2257010003,2257,CBD 800 FAJÕES,302,continente bom dia,OLIVEIRA AZEMEIS,3700-638,302,PT010001
238010002,238,MDL CARTAXO,303,continente modelo,CARTAXO,2070-621,303,PT010001
8524010006,8524,CBD BAIXA BANHEIRA,302,continente bom dia,BAIXA DA BANHEIRA,2835-153,302,PT010001
2400010006,2400,MDL COIMBRA EIRAS,303,continente modelo,EIRAS,3020-497,303,PT010001
4895010005,4895,MDL ODIAXERE,303,continente modelo,ODIAXERE,8600-250,303,PT010001
2084010003,2084,MDL SANT ANTÓNIO,303,continente modelo,FUNCHAL,9020-401,303,PT010001
9055010005,9055,MDL Capelas-Açores,303,continente modelo,PONTA DELGADA,9545-143,303,PT010001
3366010005,3366,MDL FIGUEIRA FOZ,303,continente modelo,FIGUEIRA DA FOZ,3080-897,303,PT010001
4964010005,4964,CBD VILA DO CONDE,302,continente bom dia,VILA DO CONDE,4485-592,302,PT010001
9083010003,9083,CBD BREJOS AZEITÃO,302,continente bom dia,BREJOS DE AZEITÃO,2925-148,302,PT010001
2634010003,2634,CBD V PRAIA ANCORA,302,continente bom dia,V. PRAIA ÂNCORA,4910-456,302,PT010001
1715010007,1715,CBD SERTÃ,302,continente bom dia,SERTA,6100-751,302,PT010001
5154010004,5154,CBD VIZ RUA DA PALMA,302,continente bom dia,LISBOA,1100-395,302,PT010001
5010003,5,CNT LEIRIA,143,continente,LEIRIA,2415-369,143,PT010001
320010003,320,CBD VIZ QUELUZ,302,continente bom dia,QUELUZ,2745-332,302,PT010001
331010002,331,CBD ALGÉS,302,continente bom dia,ALGÉS,1495-241,302,PT010001
1905010004,1905,CBD SERPA PINTO PRT,302,continente bom dia,PORTO,4100-409,302,PT010001
